ticker,name,sector
1301.T,極洋,水産・農林業
1332.T,ニッスイ,水産・農林業
1333.T,マルハニチロ,水産・農林業
1375.T,ユキグニファクトリー,水産・農林業
1377.T,サカタのタネ,水産・農林業
1379.T,ホクト,水産・農林業
1414.T,ショーボンドホールディングス,建設業
1417.T,ミライト・ワン,建設業
1419.T,タマホーム,建設業
1429.T,日本アクア,建設業
1433.T,ベステラ,建設業
1515.T,日鉄鉱業,鉱業
1518.T,三井松島ホールディングス,その他製品
1605.T,ＩＮＰＥＸ,鉱業
1662.T,石油資源開発,鉱業
1663.T,Ｋ＆Ｏエナジーグループ,鉱業
1719.T,安藤・間,建設業
1720.T,東急建設,建設業
1721.T,コムシスホールディングス,建設業
1726.T,ビーアールホールディングス,建設業
1762.T,高松コンストラクショングループ,建設業
1766.T,東建コーポレーション,建設業
1780.T,ヤマウラ,建設業
1786.T,オリエンタル白石,建設業
1801.T,大成建設,建設業
1802.T,大林組,建設業
1803.T,清水建設,建設業
1808.T,長谷工コーポレーション,建設業
1812.T,鹿島建設,建設業
1813.T,不動テトラ,建設業
1814.T,大末建設,建設業
1815.T,鉄建建設,建設業
1820.T,西松建設,建設業
1833.T,奥村組,建設業
1835.T,東鉄工業,建設業
1852.T,淺沼組,建設業
1860.T,戸田建設,建設業
1861.T,熊谷組,建設業
1870.T,矢作建設工業,建設業
1871.T,ピーエス・コンストラクション,建設業
1873.T,日本ハウスホールディングス,建設業
1878.T,大東建託,不動産業
1879.T,新日本建設,建設業
1882.T,東亜道路工業,建設業
1885.T,東亜建設工業,建設業
1887.T,日本国土開発,建設業
1888.T,若築建設,建設業
1893.T,五洋建設,建設業
1898.T,世紀東急工業,建設業
1899.T,福田組,建設業
1911.T,住友林業,建設業
1925.T,大和ハウス工業,建設業
1926.T,ライト工業,建設業
1928.T,積水ハウス,建設業
1929.T,日特建設,建設業
1930.T,北陸電気工事,建設業
1934.T,ユアテック,建設業
1938.T,日本リーテック,建設業
1939.T,四電工,建設業
1941.T,中電工,建設業
1942.T,関電工,建設業
1944.T,きんでん,建設業
1945.T,東京エネシス,建設業
1946.T,トーエネック,建設業
1949.T,住友電設,建設業
1950.T,日本電設工業,建設業
1951.T,エクシオグループ,建設業
1952.T,新日本空調,建設業
1959.T,クラフティア,建設業
1961.T,三機工業,建設業
1963.T,日揮ホールディングス,建設業
1964.T,中外炉工業,建設業
1968.T,太平電業,建設業
1969.T,高砂熱学工業,建設業
1975.T,朝日工業社,建設業
1976.T,明星工業,建設業
1979.T,大氣社,建設業
1980.T,ダイダン,建設業
1982.T,日比谷総合設備,建設業
2001.T,ニップン,食料品
2002.T,日清製粉グループ本社,食料品
2004.T,昭和産業,食料品
2053.T,中部飼料,食料品
2060.T,フィード・ワン,食料品
2108.T,日本甜菜製糖,食料品
2109.T,ＤＭ三井製糖,食料品
2117.T,ウェルネオシュガー,食料品
2120.T,ＬＩＦＵＬＬ,サービス業
2121.T,ＭＩＸＩ,情報・通信業
2124.T,ジェイエイシーリクルートメント,サービス業
2127.T,日本Ｍ＆Ａセンターホールディングス,サービス業
2130.T,メンバーズ,サービス業
2146.T,ＵＴグループ,サービス業
2148.T,アイティメディア,サービス業
2153.T,Ｅ・Ｊホールディングス,サービス業
2154.T,オープンアップグループ,サービス業
2157.T,コシダカホールディングス,サービス業
2163.T,アルトナー,サービス業
2168.T,パソナグループ,サービス業
2170.T,リンクアンドモチベーション,サービス業
2175.T,エス・エム・エス,サービス業
2181.T,パーソルホールディングス,サービス業
2198.T,アイ・ケイ・ケイホールディングス,サービス業
2201.T,森永製菓,食料品
2206.T,江崎グリコ,食料品
2207.T,ｍｅｉｔｏ,食料品
2209.T,井村屋グループ,食料品
2211.T,不二家,食料品
2212.T,山崎製パン,食料品
2217.T,モロゾフ,食料品
2220.T,亀田製菓,食料品
2222.T,寿スピリッツ,食料品
2229.T,カルビー,食料品
2264.T,森永乳業,食料品
2266.T,六甲バター,食料品
2267.T,ヤクルト本社,食料品
2269.T,明治ホールディングス,食料品
2270.T,雪印メグミルク,食料品
2281.T,プリマハム,食料品
2282.T,日本ハム,食料品
2288.T,丸大食品,食料品
2292.T,Ｓ　Ｆｏｏｄｓ,食料品
2294.T,柿安本店,食料品
2296.T,伊藤ハム米久ホールディングス,食料品
2301.T,学情,サービス業
2307.T,クロスキャット,情報・通信業
2317.T,システナ,情報・通信業
2325.T,ＮＪＳ,サービス業
2326.T,デジタルアーツ,情報・通信業
2327.T,日鉄ソリューションズ,情報・通信業
2331.T,ＡＬＳＯＫ,サービス業
2335.T,キューブシステム,情報・通信業
2337.T,いちご,不動産業
2353.T,日本駐車場開発,不動産業
2359.T,コア,情報・通信業
2371.T,カカクコム,サービス業
2374.T,セントケア・ホールディング,サービス業
2378.T,ルネサンス,サービス業
2379.T,ディップ,サービス業
2384.T,ＳＢＳホールディングス,陸運業
2389.T,デジタルホールディングス,サービス業
2395.T,新日本科学,サービス業
2410.T,キャリアデザインセンター,サービス業
2413.T,エムスリー,サービス業
2429.T,ワールドホールディングス,サービス業
2432.T,ディー・エヌ・エー,情報・通信業
2433.T,博報堂ＤＹホールディングス,サービス業
2445.T,タカミヤ,サービス業
2461.T,ファンコミュニケーションズ,サービス業
2462.T,ライク,サービス業
2471.T,エスプール,サービス業
2475.T,ＷＤＢホールディングス,サービス業
2491.T,バリューコマース,サービス業
2492.T,インフォマート,サービス業
2501.T,サッポロホールディングス,食料品
2502.T,アサヒグループホールディングス,食料品
2503.T,キリンホールディングス,食料品
2531.T,宝ホールディングス,食料品
2533.T,オエノンホールディングス,食料品
2540.T,養命酒製造,食料品
2579.T,コカ・コーラ　ボトラーズジャパンホールディングス,食料品
2585.T,ライフドリンク　カンパニー,食料品
2587.T,サントリー食品インターナショナル,食料品
2590.T,ダイドーグループホールディングス,食料品
2593.T,伊藤園,食料品
2594.T,キーコーヒー,食料品
2602.T,日清オイリオグループ,食料品
2607.T,不二製油,食料品
2613.T,Ｊ－オイルミルズ,食料品
2659.T,サンエー,小売業
2664.T,カワチ薬品,小売業
2670.T,エービーシー・マート,小売業
2674.T,ハードオフコーポレーション,小売業
2676.T,高千穂交易,卸売業
2678.T,アスクル,小売業
2681.T,ゲオホールディングス,小売業
2685.T,アンドエスティＨＤ,小売業
2692.T,伊藤忠食品,卸売業
2695.T,くら寿司,小売業
2726.T,パルグループホールディングス,小売業
2730.T,エディオン,小売業
2733.T,あらた,卸売業
2734.T,サーラコーポレーション,小売業
2737.T,トーメンデバイス,卸売業
2742.T,ハローズ,小売業
2749.T,ＪＰホールディングス,サービス業
2752.T,フジオフードグループ本社,小売業
2753.T,あみやき亭,小売業
